"Date","Station","Name","X","Y","Tide","Inches_Rain","Layer","sample_Depth_m","Time","total_depth_m","Secchi_cm","Temp","Cond_ mS_cm","Sal_ppt","DO_mg_L ","pH","Ent_cfu_ 100ml","TSS_mg_L","TN_mg_L ","TP_mg_L","chl_total_ug_L ","chl_active _ug_L","chl_phaeo_ug_L","comments"
"5/23/19","CG","Cherry Grove","-76.5171","38.9731","","0","S","0.2","8:05","","","","","","","","250","6.5","","","","","",""
"5/23/19","EYC","Eastport Yacht Club","-76.4782","38.9753","high","0","S","0.2","10:02","2.6","85","20.1","6.17","3.37","9.54","7.94","10","17.0","","","","","",""
"5/23/19","EYC","Eastport Yacht Club","-76.4782","38.9753","high","0","M","1.2","","","","20.1","6.18","3.37","9.31","7.9","","","","","","","",""
"5/23/19","EYC","Eastport Yacht Club","-76.4782","38.9753","high","0","B","2.4","","","","20.1","6.2","3.38","9.29","7.83","","","","","","","",""
"5/23/19","HC","Hawkins Cove","-76.4971","38.9678","high","0","S","0.2","9:01","1.3","55","20.6","6.54","3.58","7.15","7.31","10","16.5","","","","","",""
"5/23/19","HC","Hawkins Cove","-76.4971","38.9678","high","0","M","0.6","","","","20.5","6.53","3.58","7.12","7.31","","","","","","","",""
"5/23/19","HC","Hawkins Cove","-76.4971","38.9678","high","0","B","1","","","","20.4","6.5","3.56","6.9","7.34","","","","","","","",""
"5/23/19","HW","Headwater Merge","-76.5025","38.9642","high","0","S","0.2","9:20","2.5","65","21.1","6.6","3.61","10.73","8.16","20","21.6","","","","","",""
"5/23/19","HW","Headwater Merge","-76.5025","38.9642","high","0","M","1.2","","","","21.1","6.6","3.61","9.63","7.86","","","","","","","",""
"5/23/19","HW","Headwater Merge","-76.5025","38.9642","high","0","B","2.2","","","","21.1","6.57","3.6","9.41","7.85","","","","","","","",""
"5/23/19","MAC","Acton Cove","-76.4926","38.9732","high","0","S","0.2","9:29","3.8","85","21.2","6.71","3.68","10.55","8.16","6","15.0","","","","","",""
"5/23/19","MAC","Acton Cove","-76.4926","38.9732","high","0","M","1.8","","","","21","6.73","3.7","9.85","7.98","","","","","","","",""
"5/23/19","MAC","Acton Cove","-76.4926","38.9732","high","0","B","3.6","","","","20.9","6.74","3.7","8.85","7.72","","","","","","","",""
"5/23/19","MOS","Mouth of Spa Creek","-76.4837","38.9753","high","0","S","0.2","9:50","4.2","85","20.6","6.38","3.49","10.37","8.13","8","11.5","","","","","",""
"5/23/19","MOS","Mouth of Spa Creek","-76.4837","38.9753","high","0","M","2","","","","20.4","6.38","3.49","10.25","8.07","","","","","","","",""
"5/23/19","MOS","Mouth of Spa Creek","-76.4837","38.9753","high","0","B","4","","","","20.3","6.38","3.49","10.22","8.04","","","","","","","",""
"5/23/19","MOWC","Cheston","-76.4958","38.9724","high","0","S","0.2","9:20","1.3","75","21.2","6.75","3.7","9.3","7.2","24","17.0","","","","","",""
